dataset_title,id,image_filename,organ,disease_state,oncotree_code,species,patient,st_technology,data_publication_date,license,study_link,download_page_link1,inter_spot_dist,spot_diameter,spots_under_tissue,preservation_method,nb_genes,treatment_comment,pixel_size_um_embedded,pixel_size_um_estimated,magnification,fullres_px_width,fullres_px_height,tissue,disease_comment,subseries,hest_version_added
Human Kidney Preview Data (Xenium Human Multi-Tissue and Cancer Panel),TENX105,TENX105.tif,Kidney,Cancer,PRCC,Homo sapiens,,Xenium,7/17/23,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/human-kidney-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,,,1738,FFPE,541,,0.2125,0.273709886751968,40x,8832,27323,Kidney,,Kidney Cancer (PRCC),v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT24,INT24.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 1,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,4510,,17943,,0.45766590389016,0.45736731519443,40x,23040,23296,Kidney,,ccRCC tumor ffpe_c_2,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT23,INT23.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 2,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,4755,,17943,,0.45766590389016,0.45753312598457,40x,17184,17020,Kidney,,ccRCC tumor ffpe_c_3,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT22,INT22.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 3,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,3829,,17943,,0.45766590389016,0.457504316124313,40x,17127,16927,Kidney,,ccRCC tumor ffpe_c_4,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT21,INT21.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 4,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,4975,,17943,,0.45766590389016,0.457336659095795,40x,17128,16878,Kidney,,ccRCC tumor ffpe_c_7,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT20,INT20.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 5,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,4860,,17943,,0.45766590389016,0.457109556747219,40x,17214,16781,Kidney,,ccRCC tumor ffpe_c_10,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT19,INT19.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 6,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,4948,,17943,,0.45766590389016,0.45725462779329,40x,16989,16751,Kidney,,ccRCC tumor ffpe_c_20,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT18,INT18.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 7,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,4915,,17943,,0.45766590389016,0.458098050458905,40x,17115,17071,Kidney,,ccRCC tumor ffpe_c_21,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT17,INT17.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 8,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,3585,,17943,,0.45766590389016,0.457530311881018,40x,17482,16885,Kidney,,ccRCC tumor ffpe_c_34,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT16,INT16.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 9,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,3206,,17943,,0.45766590389016,0.457638451710432,40x,17158,16884,Kidney,,ccRCC tumor ffpe_c_36,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT15,INT15.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 10,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,4940,,17943,,0.45766590389016,0.457852371,40x,17303,16404,Kidney,,ccRCC tumor ffpe_c_39,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT14,INT14.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 11,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,4562,,17943,,0.45766590389016,0.457571755254355,40x,17040,16863,Kidney,,ccRCC tumor ffpe_c_45,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT13,INT13.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 12,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,4359,,17943,,0.45766590389016,0.457427788409886,40x,17110,16934,Kidney,,ccRCC tumor ffpe_c_51,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT12,INT12.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 13,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,1451,,36601,,0.45766590389016,0.457664178387135,40x,19200,18944,Kidney,,ccRCC tumor frozen_a_1,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT11,INT11.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 14,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,1439,,36601,,0.45766590389016,0.456621005,40x,19200,19712,Kidney,,ccRCC tumor frozen_a_3,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT10,INT10.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 15,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,1983,,36601,,0.45766590389016,0.458014733390284,40x,21120,19200,Kidney,,ccRCC tumor frozen_a_15,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT9,INT9.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 16,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,1696,,36601,,0.45766590389016,0.457549035711129,40x,19200,18944,Kidney,,ccRCC tumor frozen_a_17,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT8,INT8.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 17,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,1949,,36601,,0.45766590389016,0.457038391224863,40x,19200,19712,Kidney,,ccRCC tumor frozen_b_1,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT7,INT7.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 18,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,2374,,36601,,0.45766590389016,0.457665604322263,40x,21120,19200,Kidney,,ccRCC tumor frozen_b_7,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT6,INT6.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 19,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,1678,,36601,,0.45766590389016,0.457142823971497,40x,23040,20480,Kidney,,ccRCC tumor frozen_b_13,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT5,INT5.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 20,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,1186,,36601,,0.45766590389016,0.45661981448672,40x,21120,19456,Kidney,,ccRCC tumor frozen_b_18,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT4,INT4.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 21,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,1349,,36601,,0.45766590389016,0.458713451391209,40x,19200,19456,Kidney,,ccRCC tumor frozen_c_2,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT3,INT3.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 22,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,2007,,36601,,0.45766590389016,0.45766590389016,40x,21120,19456,Kidney,,ccRCC tumor frozen_c_5,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT2,INT2.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 23,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,2580,,36601,,0.45766590389016,0.457038391224863,40x,19200,19200,Kidney,,ccRCC tumor frozen_c_23,v1_0_0
Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,INT1,INT1.tif,Kidney,Cancer,SCCRCC,Homo sapiens,Patient 24,Visium,3/3/22,Internal,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),100.0,55.0,1084,,36601,,0.45766590389016,0.456893117723337,40x,19200,19968,Kidney,,ccRCC tumor frozen_c_57,v1_0_0
