split,factor,mse,rmse,r2,pearson,spearman
train,t_cell_infiltration,0.036360517144203186,0.19068433901137027,0.3374236822128296,0.58096796,0.48300221579554264
train,cytotoxicity,0.041112061589956284,0.20276109486278743,0.2510639429092407,0.5011938,0.41464189241501476
train,tgfb_caf,0.08938451111316681,0.2989724253391386,0.7256661653518677,0.85186845,0.8575640962665221
train,proliferation,0.028395671397447586,0.16851015220884344,0.15277528762817383,0.39103127,0.3660041238767119
val,t_cell_infiltration,0.055519022047519684,0.23562474837656525,-0.39896464347839355,0.12951212,0.10332597094795604
val,cytotoxicity,0.058480553328990936,0.24182752806285504,-0.2050706148147583,0.10858101,0.10990628667920015
val,tgfb_caf,0.2866942882537842,0.5354384075258182,0.3191556930541992,0.62864304,0.6499066107595115
val,proliferation,0.034016914665699005,0.18443674976993876,-0.34380030632019043,0.038945347,0.04575584818128013
test,t_cell_infiltration,0.0680823028087616,0.26092585691870707,-0.28889036178588867,0.22921911,0.25026982542604265
test,cytotoxicity,0.059017524123191833,0.24293522618836452,-0.04254913330078125,0.22687444,0.23706899446015778
test,tgfb_caf,0.17675404250621796,0.42042126790425094,0.10685431957244873,0.5172016,0.48105026876959744
test,proliferation,0.0480540432035923,0.21921232447924158,-0.3004941940307617,0.1609344,0.1571970028662304
